TIGR00001	50S ribosomal protein L35
TIGR00669	aspartate--ammonia ligase
TIGR00670	aspartate carbamoyltransferase
TIGR00671	type III pantothenate kinase
TIGR00672	CDP-diacylglycerol diphosphatase
TIGR00673	cyanase
TIGR00674	4-hydroxy-tetrahydrodipicolinate synthase
TIGR00675	DNA (cytosine-5-)-methyltransferase
TIGR00676	methylenetetrahydrofolate reductase [NAD(P)H]
TIGR00677	methylenetetrahydrofolate reductase
TIGR00678	DNA polymerase III subunit delta'
TIGR00679	HPr(Ser) kinase/phosphatase
TIGR00680	potassium-transporting ATPase subunit A
TIGR00681	K(+)-transporting ATPase subunit C
TIGR00682	tetraacyldisaccharide 4'-kinase
TIGR00683	N-acetylneuraminate lyase
TIGR00684	nitrate reductase molybdenum cofactor assembly chaperone
TIGR00685	trehalose-phosphatase
TIGR00687	pyridoxal kinase
TIGR00688	EamA family transporter RarD
TIGR00689	RpiB/LacA/LacB family sugar-phosphate isomerase
TIGR00690	DNA-directed RNA polymerase subunit omega
TIGR00691	RelA/SpoT family protein
TIGR00692	L-threonine 3-dehydrogenase
TIGR00693	thiamine phosphate synthase
TIGR00694	hydroxyethylthiazole kinase
TIGR00695	mannonate dehydratase
TIGR00696	WecB/TagA/CpsF family glycosyltransferase
TIGR00698	YeiH family putative sulfate export transporter
TIGR00699	4-aminobutyrate--2-oxoglutarate transaminase
TIGR00700	4-aminobutyrate--2-oxoglutarate transaminase
TIGR00701	protoporphyrinogen oxidase HemJ
TIGR00703	TIGR00703 family protein
TIGR00705	signal peptide peptidase SppA
TIGR00706	signal peptide peptidase SppA
TIGR00707	acetylornithine/succinylornithine family transaminase
TIGR00708	cob(I)yrinic acid a,c-diamide adenosyltransferase
TIGR00710	Bcr/CflA family efflux MFS transporter
TIGR00711	DHA2 family efflux MFS transporter permease subunit
TIGR00712	glycerol-3-phosphate transporter
TIGR00713	glutamate-1-semialdehyde-2,1-aminomutase
TIGR00714	Fe-S protein assembly co-chaperone HscB
TIGR00715	precorrin-6A reductase
TIGR00716	ribonuclease HIII
TIGR00717	30S ribosomal protein S1
TIGR00718	L-serine ammonia-lyase, iron-sulfur-dependent, subunit alpha
TIGR00719	L-serine ammonia-lyase, iron-sulfur-dependent, subunit beta
TIGR00720	L-serine ammonia-lyase
TIGR00721	Tfx family DNA-binding protein
TIGR00724	5-oxoprolinase/urea amidolyase family protein
TIGR00725	TIGR00725 family protein
TIGR00726	peptidoglycan editing factor PgeF
TIGR00727	small oligopeptide transporter, OPT family
TIGR00728	OPT family oligopeptide transporter
TIGR00729	ribonuclease HII
TIGR00730	TIGR00730 family Rossman fold protein
TIGR00731	50S ribosomal protein L25
TIGR00732	DNA-protecting protein DprA
TIGR00733	oligopeptide transporter, OPT family
TIGR00734	HisA/HisF family protein
TIGR00735	imidazole glycerol phosphate synthase subunit HisF
TIGR00737	tRNA dihydrouridine synthase DusB
TIGR00738	Rrf2 family transcriptional regulator
TIGR00739	preprotein translocase subunit YajC
TIGR00740	carboxy-S-adenosyl-L-methionine synthase CmoA
TIGR00741	ribosome-associated translation inhibitor RaiA
TIGR00742	tRNA dihydrouridine(20/20a) synthase DusA
TIGR00743	DUF406 family protein
TIGR00745	2-dehydropantoate 2-reductase
TIGR00746	carbamate kinase
TIGR00747	beta-ketoacyl-ACP synthase III
TIGR00748	hydroxymethylglutaryl-CoA synthase
TIGR00749	glucokinase
TIGR00750	methylmalonyl Co-A mutase-associated GTPase MeaB
TIGR00751	1,4-dihydroxy-2-naphthoate octaprenyltransferase
TIGR00752	Slp family lipoprotein
TIGR00753	undecaprenyl-diphosphatase UppP
TIGR00754	bacterioferritin
TIGR00755	ribosomal RNA small subunit methyltransferase A
TIGR00757	Rne/Rng family ribonuclease
TIGR00759	pyruvate dehydrogenase (acetyl-transferring), homodimeric type
TIGR00760	L-ribulose-5-phosphate 4-epimerase
TIGR00761	acetylglutamate kinase
TIGR00762	DegV family EDD domain-containing protein
TIGR00763	endopeptidase La
TIGR00764	ATP-dependent protease LonB
TIGR00765	YihY family inner membrane protein
TIGR00766	inner membrane protein YhjD
TIGR00767	transcription termination factor Rho
TIGR00768	RimK family alpha-L-glutamate ligase
TIGR00769	NTP/NDP exchange transporter
TIGR00773	Na+/H+ antiporter NhaA
TIGR00774	Na(+)/H(+) antiporter NhaB
TIGR00780	cytochrome-c oxidase, cbb3-type subunit I
TIGR00781	cytochrome-c oxidase, cbb3-type subunit II
TIGR00782	cytochrome-c oxidase, cbb3-type subunit III
TIGR00785	DASS family sodium-coupled anion symporter
TIGR00786	TRAP transporter large permease subunit
TIGR00787	DctP family TRAP transporter solute-binding subunit
TIGR00788	folate/biopterin family MFS transporter
TIGR00789	FlhB-like flagellar biosynthesis protein
TIGR00793	2-keto-3-deoxygluconate transporter
TIGR00794	potassium uptake protein
TIGR00796	branched-chain amino acid transport system II carrier protein
TIGR00797	MATE family efflux transporter
TIGR00802	HoxN/HupN/NixA family nickel/cobalt transporter
TIGR00804	NupC/NupG family nucleoside CNT transporter
TIGR00806	reduced folate carrier
TIGR00807	malonate transporter subunit MadL
TIGR00808	malonate transporter subunit MadM
TIGR00809	protein-export chaperone SecB
TIGR00810	preprotein translocase subunit SecG
TIGR00815	sulfate permease
TIGR00819	AbgT family antimetabolite efflux transporter
TIGR00831	Na+/H+ antiporter
TIGR00832	arsenical-resistance protein
TIGR00833	MMPL family RND transporter
TIGR00835	amino acid carrier protein
TIGR00836	ammonium transporter
TIGR00838	argininosuccinate lyase
TIGR00839	aspartate ammonia-lyase
TIGR00840	sodium/hydrogen exchanger 3
TIGR00842	BCCT family transporter
TIGR00843	benzoate transporter BenE
TIGR00844	sodium/hydrogen antiporter
TIGR00845	sodium/calcium exchanger 1
TIGR00847	cbb3-type cytochrome oxidase assembly protein CcoS
TIGR00855	50S ribosomal protein L7/L12
TIGR00856	dihydroorotase
TIGR00858	8-amino-7-oxononanoate synthase
TIGR00861	MIP family channel protein
TIGR00864	polycystin cation channel protein
TIGR00867	degenerin
TIGR00869	protein translocase, Sec62 family
TIGR00871	glucose-6-phosphate dehydrogenase
TIGR00872	decarboxylating 6-phosphogluconate dehydrogenase
TIGR00873	decarboxylating NADP(+)-dependent phosphogluconate dehydrogenase
TIGR00874	transaldolase
TIGR00875	fructose-6-phosphate aldolase
TIGR00876	transaldolase
TIGR00877	phosphoribosylamine--glycine ligase
TIGR00878	phosphoribosylformylglycinamidine cyclo-ligase
TIGR00884	glutamine-hydrolyzing GMP synthase
TIGR00885	L-fucose:H+ symporter permease
TIGR00886	NarK family nitrate/nitrite MFS transporter
TIGR00887	phosphate:H+ symporter
TIGR00888	glutamine-hydrolyzing GMP synthase
TIGR00890	oxalate/formate antiport family MFS transporter
TIGR00892	monocarboxylate transporter
TIGR00895	aromatic acid/H+ symport family MFS transporter
TIGR00896	CynX/NimT family MFS transporter
TIGR00899	sugar efflux transporter
TIGR00901	AmpG family muropeptide MFS transporter
TIGR00902	3-phenylpropionate MFS transporter
TIGR00904	MreB/Mrl family cell shape determining protein
TIGR00907	amino acid permease
TIGR00908	ethanolamine permease
TIGR00910	glutamate:gamma-aminobutyrate antiporter
TIGR00913	amino acid permease
TIGR00914	CusA/CzcA family heavy metal efflux RND transporter
TIGR00915	efflux RND transporter permease subunit
TIGR00916	SecD/SecF family protein translocase subunit
TIGR00920	hydroxymethylglutaryl-CoA reductase (NADPH)
TIGR00922	transcription termination/antitermination factor NusG
TIGR00928	adenylosuccinate lyase
TIGR00929	VirB4 family type IV secretion/conjugal transfer ATPase
TIGR00931	Na+/H+ antiporter NhaC
TIGR00936	adenosylhomocysteinase
TIGR00937	chromate efflux transporter
TIGR00938	homoserine kinase
TIGR00945	twin-arginine translocase subunit TatC
TIGR00947	putative bicarbonate transporter, IctB family
TIGR00952	30S ribosomal protein S15
TIGR00954	peroxysomal long chain fatty acyl transporter
TIGR00955	pigment precursor permease
TIGR00957	multi drug resistance-associated protein (MRP)
TIGR00959	signal recognition particle protein
TIGR00962	F0F1 ATP synthase subunit alpha
TIGR00963	preprotein translocase subunit SecA
TIGR00964	preprotein translocase subunit SecE
TIGR00965	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
TIGR00966	protein translocase subunit SecF
TIGR00967	preprotein translocase subunit SecY
TIGR00968	sulfate ABC transporter ATP-binding protein
TIGR00969	sulfate ABC transporter permease subunit
TIGR00970	2-isopropylmalate synthase
TIGR00971	sulfate ABC transporter substrate-binding protein
TIGR00972	phosphate ABC transporter ATP-binding protein
TIGR00973	2-isopropylmalate synthase
TIGR00974	phosphate ABC transporter permease PstA
TIGR00975	phosphate ABC transporter substrate-binding protein PstS
TIGR00976	CocE/NonD family hydrolase
TIGR00977	citramalate synthase
TIGR00978	aspartate-semialdehyde dehydrogenase
TIGR00979	class II fumarate hydratase
TIGR00981	30S ribosomal protein S12
TIGR00982	30S ribosomal protein S12
TIGR00987	integration host factor subunit alpha
TIGR00988	integration host factor subunit beta
TIGR00996	MCE family protein
TIGR00997	septation protein IspZ
TIGR00998	EmrA/EmrK family multidrug efflux transporter periplasmic adaptor subunit
TIGR01000	bacteriocin secretion accessory protein
TIGR01001	homoserine O-succinyltransferase
TIGR01002	beta-channel forming cytolysin
TIGR01003	HPr family phosphocarrier protein
TIGR01004	lipoprotein, PulS/OutS family
TIGR01007	polysaccharide biosynthesis tyrosine autokinase
TIGR01008	30S ribosomal protein S3
TIGR01009	30S ribosomal protein S3
TIGR01011	30S ribosomal protein S2
TIGR01012	30S ribosomal protein S2
TIGR01015	homogentisate 1,2-dioxygenase
TIGR01016	succinate-CoA ligase subunit beta
TIGR01017	30S ribosomal protein S4
TIGR01018	30S ribosomal protein S4
TIGR01019	succinate-CoA ligase subunit alpha
TIGR01020	30S ribosomal protein S5
TIGR01021	30S ribosomal protein S5
TIGR01022	50S ribosomal protein L36
TIGR01023	50S ribosomal protein L33
TIGR01024	50S ribosomal protein L19
TIGR01025	30S ribosomal protein S19
TIGR01026	FliI/YscN family ATPase
TIGR01027	glutamate 5-kinase
TIGR01028	30S ribosomal protein S7
TIGR01029	30S ribosomal protein S7
TIGR01030	50S ribosomal protein L34
TIGR01031	50S ribosomal protein L32
TIGR01032	50S ribosomal protein L20
TIGR01033	YebC/PmpR family DNA-binding transcriptional regulator
TIGR01034	methionine adenosyltransferase
TIGR01035	glutamyl-tRNA reductase
TIGR01036	dihydroorotate dehydrogenase (quinone)
TIGR01038	50S ribosomal protein L22
TIGR01039	F0F1 ATP synthase subunit beta
TIGR01040	V-type ATPase subunit B
TIGR01041	ATP synthase subunit B
TIGR01042	V-type ATPase subunit A
TIGR01043	ATP synthase subunit A
TIGR01044	50S ribosomal protein L22
TIGR01045	palindromic element RPE1 domain-containing protein
TIGR01046	30S ribosomal protein S10
TIGR01047	carboxynorspermidine decarboxylase
TIGR01048	diaminopimelate decarboxylase
TIGR01049	30S ribosomal protein S10
TIGR01050	30S ribosomal protein S19
TIGR01051	type I DNA topoisomerase
TIGR01052	DNA topoisomerase VI subunit B
TIGR01054	reverse gyrase
TIGR01055	DNA topoisomerase IV subunit B
TIGR01056	DNA topoisomerase III
TIGR01057	DNA topoisomerase I
TIGR01058	DNA topoisomerase IV subunit B
TIGR01059	DNA topoisomerase (ATP-hydrolyzing) subunit B
TIGR01060	phosphopyruvate hydratase
TIGR01061	DNA topoisomerase IV subunit A
TIGR01062	DNA topoisomerase IV subunit A
TIGR01063	DNA topoisomerase (ATP-hydrolyzing) subunit A
TIGR01064	pyruvate kinase
TIGR01066	50S ribosomal protein L13
TIGR01067	50S ribosomal protein L14
TIGR01068	thioredoxin
TIGR01069	endonuclease MutS2
TIGR01070	DNA mismatch repair protein MutS
TIGR01071	50S ribosomal protein L15
TIGR01072	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
TIGR01073	DNA helicase PcrA
TIGR01074	DNA helicase Rep
TIGR01075	DNA helicase II
TIGR01076	sortase
TIGR01077	50S ribosomal protein L13
TIGR01078	arginine deiminase
TIGR01079	50S ribosomal protein L24
TIGR01080	50S ribosomal protein L24
TIGR01081	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase
TIGR01082	UDP-N-acetylmuramate--L-alanine ligase
TIGR01083	endonuclease III
TIGR01084	A/G-specific adenine glycosylase
TIGR01085	UDP-N-acetylmuramyl-tripeptide synthetase
TIGR01086	L-fuculose-phosphate aldolase
TIGR01087	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
TIGR01088	type II 3-dehydroquinate dehydratase
TIGR01089	L-fucose isomerase
TIGR01090	adenine phosphoribosyltransferase
TIGR01091	uracil phosphoribosyltransferase
TIGR01092	delta l-pyrroline-5-carboxylate synthetase
TIGR01093	type I 3-dehydroquinate dehydratase
TIGR01097	phosphonate ABC transporter, permease protein PhnE
TIGR01098	phosphate/phosphite/phosphonate ABC transporter substrate-binding protein
TIGR01099	UTP--glucose-1-phosphate uridylyltransferase
TIGR01100	V-type ATPase subunit C
TIGR01101	V-type ATPase subunit F
TIGR01102	EscR/YscR/HrcR family type III secretion system export apparatus protein
TIGR01103	flagellar biosynthetic protein FliP
TIGR01104	V-type H(+)-translocating pyrophosphatase
TIGR01105	GalU regulator GalF
TIGR01106	Na,H/K antiporter P-type ATPase subunit alpha
TIGR01107	sodium/potassium-exchanging ATPase subunit beta
TIGR01108	oxaloacetate decarboxylase subunit alpha
TIGR01109	sodium ion-translocating decarboxylase subunit beta
TIGR01110	malonate decarboxylase subunit alpha
TIGR01111	tetrahydromethanopterin S-methyltransferase subunit A
TIGR01112	tetrahydromethanopterin S-methyltransferase subunit D
TIGR01113	tetrahydromethanopterin S-methyltransferase subunit E
TIGR01114	tetrahydromethanopterin S-methyltransferase subunit H
TIGR01115	photosynthetic reaction center subunit M
TIGR01116	calcium-translocating P-type ATPase, SERCA-type
TIGR01117	methylmalonyl-CoA decarboxylase subunit alpha
TIGR01118	galactose-6-phosphate isomerase subunit LacA
TIGR01119	galactose-6-phosphate isomerase subunit LacB
TIGR01120	ribose 5-phosphate isomerase B
TIGR01121	D-amino-acid transaminase
TIGR01122	branched-chain-amino-acid transaminase
TIGR01123	branched-chain-amino-acid transaminase
TIGR01124	threonine ammonia-lyase, biosynthetic
TIGR01125	30S ribosomal protein S12 methylthiotransferase RimO
TIGR01127	threonine ammonia-lyase
TIGR01128	DNA polymerase III subunit delta
TIGR01129	protein translocase subunit SecD
TIGR01130	protein disulfide-isomerase
TIGR01131	ATP synthase F0 subunit A
TIGR01132	phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)
TIGR01133	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
TIGR01134	amidophosphoribosyltransferase
TIGR01135	glutamine--fructose-6-phosphate transaminase (isomerizing)
TIGR01136	cysteine synthase
TIGR01137	cystathionine beta-synthase
TIGR01138	cysteine synthase B
TIGR01139	cysteine synthase A
TIGR01140	threonine-phosphate decarboxylase
TIGR01141	histidinol-phosphate transaminase
TIGR01142	phosphoribosylglycinamide formyltransferase 2
TIGR01143	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
TIGR01144	ATP synthase F0 subunit B
TIGR01145	ATP synthase F1 subunit delta
TIGR01146	ATP synthase F1 subunit gamma
TIGR01147	V-type ATPase subunit G
TIGR01148	tetrahydromethanopterin S-methyltransferase subunit C
TIGR01149	tetrahydromethanopterin S-methyltransferase subunit G
TIGR01150	photosynthetic reaction center subunit H
TIGR01151	photosystem II q(b) protein
TIGR01152	photosystem II D2 protein (photosystem q(a) protein)
TIGR01153	photosystem II 44 kDa subunit reaction center protein
TIGR01156	cytochrome b6-f complex subunit IV
TIGR01157	photosynthetic reaction center subunit L
TIGR01158	stress response translation initiation inhibitor YciH
TIGR01160	translation initiation factor SUI1
TIGR01161	5-(carboxyamino)imidazole ribonucleotide synthase
TIGR01162	5-(carboxyamino)imidazole ribonucleotide mutase
TIGR01163	ribulose-phosphate 3-epimerase
TIGR01164	50S ribosomal protein L16
TIGR01165	cobalt ECF transporter S component CbiN
TIGR01167	LPXTG cell wall anchor domain-containing protein
TIGR01168	YSIRK-type signal peptide-containing protein
TIGR01169	50S ribosomal protein L1
TIGR01171	50S ribosomal protein L2
TIGR01172	serine O-acetyltransferase
TIGR01173	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
TIGR01174	cell division protein FtsA
TIGR01175	type IV pilus assembly protein PilM
TIGR01176	fumarate reductase (quinol) flavoprotein subunit
TIGR01177	TIGR01177 family methyltransferase
TIGR01178	adenine deaminase
TIGR01179	UDP-glucose 4-epimerase GalE
TIGR01181	dTDP-glucose 4,6-dehydratase
TIGR01182	bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase
TIGR01183	nitrate ABC transporter, permease protein
TIGR01187	polyamine ABC transporter ATP-binding protein
TIGR01189	heme ABC exporter ATP-binding protein CcmA
TIGR01190	heme exporter protein CcmB
TIGR01192	glucan export ABC transporter ATP-binding protein
TIGR01193	peptide cleavage/export ABC transporter
TIGR01194	cyclic peptide export ABC transporter
TIGR01196	phosphogluconate dehydratase
TIGR01198	6-phosphogluconolactonase
TIGR01200	GLPGLI family protein
TIGR01202	chlorophyll synthesis pathway protein BchC
TIGR01203	hypoxanthine phosphoribosyltransferase
TIGR01204	6-carboxyhexanoate--CoA ligase
TIGR01205	D-alanine--D-alanine ligase
TIGR01206	lysine biosynthesis protein LysW
TIGR01207	glucose-1-phosphate thymidylyltransferase
TIGR01208	glucose-1-phosphate thymidylyltransferase
TIGR01209	RNA ligase
TIGR01210	TIGR01210 family radical SAM protein
TIGR01211	tRNA uridine(34) 5-carboxymethylaminomethyl modification radical SAM/GNAT enzyme Elp3
TIGR01212	TIGR01212 family radical SAM protein
TIGR01213	tRNA pseudouridine(54/55) synthase Pus10
TIGR01214	dTDP-4-dehydrorhamnose reductase
TIGR01215	cell division topological specificity factor MinE
TIGR01216	ATP synthase F1 subunit epsilon
TIGR01217	acetoacetate--CoA ligase
TIGR01219	phosphomevalonate kinase
TIGR01220	phosphomevalonate kinase
TIGR01221	dTDP-4-dehydrorhamnose 3,5-epimerase
TIGR01222	septum site-determining protein MinC
TIGR01223	phosphomevalonate kinase
TIGR01224	imidazolonepropionase
TIGR01225	histidine ammonia-lyase
TIGR01226	phenylalanine ammonia-lyase
TIGR01227	formimidoylglutamase
TIGR01228	urocanate hydratase
TIGR01229	arginase
TIGR01230	agmatinase
TIGR01231	tagatose-6-phosphate kinase
TIGR01232	tagatose-bisphosphate aldolase
TIGR01233	6-phospho-beta-galactosidase
TIGR01234	ribulokinase
TIGR01235	pyruvate carboxylase
TIGR01236	L-glutamate gamma-semialdehyde dehydrogenase
TIGR01237	L-glutamate gamma-semialdehyde dehydrogenase
TIGR01238	L-glutamate gamma-semialdehyde dehydrogenase
TIGR01239	UDP-glucose--hexose-1-phosphate uridylyltransferase
TIGR01240	diphosphomevalonate decarboxylase
TIGR01241	ATP-dependent zinc metalloprotease FtsH
TIGR01244	TIGR01244 family phosphatase
TIGR01245	anthranilate phosphoribosyltransferase
TIGR01246	succinyl-diaminopimelate desuccinylase
TIGR01249	prolyl aminopeptidase
TIGR01251	ribose-phosphate diphosphokinase
TIGR01252	acetolactate decarboxylase
TIGR01253	thiamine/thiamine pyrophosphate ABC transporter, permease protein
TIGR01254	thiamine ABC transporter substrate-binding protein
TIGR01255	formate C-acetyltransferase
TIGR01256	molybdate ABC transporter substrate-binding protein
TIGR01257	rim ABC transporter
TIGR01258	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
TIGR01260	ATP synthase F0 subunit C
TIGR01261	histidinol-phosphatase
TIGR01262	maleylacetoacetate isomerase
TIGR01263	4-hydroxyphenylpyruvate dioxygenase
TIGR01264	tyrosine transaminase
TIGR01266	fumarylacetoacetase
TIGR01267	phenylalanine 4-monooxygenase
TIGR01268	phenylalanine 4-monooxygenase
TIGR01269	tyrosine 3-monooxygenase
TIGR01270	tryptophan 5-monooxygenase
TIGR01271	cystic fibrosis transmembrane conductor regulator (CFTR)
TIGR01272	glucose/galactose MFS transporter
TIGR01273	arginine decarboxylase
TIGR01274	1-aminocyclopropane-1-carboxylate deaminase
TIGR01276	thiamine ABC transporter substrate binding subunit
TIGR01277	thiamine ABC transporter ATP-binding protein
TIGR01278	ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit B
TIGR01279	ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit N
TIGR01280	exodeoxyribonuclease VII small subunit
TIGR01281	ferredoxin:protochlorophyllide reductase (ATP-dependent) iron-sulfur ATP-binding protein
TIGR01282	nitrogenase molybdenum-iron protein alpha chain
TIGR01283	nitrogenase iron-molybdenum cofactor biosynthesis protein NifE
TIGR01284	nitrogenase subunit alpha
TIGR01285	nitrogenase iron-molybdenum cofactor biosynthesis protein NifN
TIGR01286	nitrogenase molybdenum-iron protein subunit beta
TIGR01287	nitrogenase iron protein
TIGR01288	nodulation factor ABC transporter ATP-binding protein NodI
TIGR01289	protochlorophyllide oxidoreductase
TIGR01290	nitrogenase cofactor biosynthesis protein NifB
TIGR01292	thioredoxin-disulfide reductase
TIGR01293	voltage-dependent potassium channel subunit beta
TIGR01294	phospholamban
TIGR01296	aspartate-semialdehyde dehydrogenase
TIGR01297	cation diffusion facilitator family transporter
TIGR01298	ribonuclease T
TIGR01302	IMP dehydrogenase
TIGR01303	GuaB1 family IMP dehydrogenase-related protein
TIGR01304	GuaB3 family IMP dehydrogenase-related protein
TIGR01305	GMP reductase
TIGR01306	GMP reductase
TIGR01307	phosphoglycerate mutase (2,3-diphosphoglycerate-independent)
TIGR01308	50S ribosomal protein L30
TIGR01309	50S ribosomal protein L30
TIGR01311	glycerol kinase
TIGR01312	xylulokinase
TIGR01314	gluconokinase
TIGR01316	NADPH-dependent glutamate synthase
TIGR01317	glutamate synthase small subunit
TIGR01320	malate dehydrogenase (quinone)
TIGR01321	trp operon repressor
TIGR01322	sucrose-6-phosphate hydrolase
TIGR01323	nitrile hydratase subunit alpha
TIGR01324	cystathionine beta-lyase
TIGR01325	O-succinylhomoserine sulfhydrylase
TIGR01327	phosphoglycerate dehydrogenase
TIGR01328	methionine gamma-lyase
TIGR01329	cystathionine beta-lyase
TIGR01330	3'(2'),5'-bisphosphate nucleotidase
TIGR01331	3'(2'),5'-bisphosphate nucleotidase
TIGR01332	cytochrome b559 subunit alpha
TIGR01333	cytochrome b559 subunit beta
TIGR01334	ModD protein
TIGR01335	photosystem I core protein PsaA
TIGR01336	photosystem I core protein PsaB
TIGR01337	allophycocyanin subunit beta
TIGR01338	phycocyanin subunit alpha
TIGR01339	phycocyanin subunit beta
TIGR01340	aconitate hydratase
TIGR01341	aconitate hydratase AcnA
TIGR01343	homoaconitate hydratase family protein
TIGR01344	malate synthase A
TIGR01345	malate synthase G
TIGR01346	isocitrate lyase
TIGR01347	dihydrolipoyllysine-residue succinyltransferase
TIGR01348	dihydrolipoyllysine-residue acetyltransferase
TIGR01349	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase
TIGR01350	dihydrolipoyl dehydrogenase
TIGR01351	adenylate kinase
TIGR01352	TonB family protein
TIGR01353	dNTP triphosphohydrolase
TIGR01354	cytidine deaminase
TIGR01355	cytidine deaminase
TIGR01356	3-phosphoshikimate 1-carboxyvinyltransferase
TIGR01357	3-dehydroquinate synthase
TIGR01358	3-deoxy-7-phosphoheptulonate synthase class II
TIGR01360	adenylate kinase
TIGR01361	3-deoxy-7-phosphoheptulonate synthase
TIGR01362	3-deoxy-8-phosphooctulonate synthase
TIGR01363	pneumococcal-type histidine triad protein
TIGR01364	phosphoserine transaminase
TIGR01365	phosphoserine transaminase
TIGR01366	phosphoserine transaminase
TIGR01367	orotate phosphoribosyltransferase
TIGR01368	carbamoyl-phosphate synthase (glutamine-hydrolyzing) small subunit
TIGR01369	carbamoyl-phosphate synthase (glutamine-hydrolyzing) large subunit
TIGR01371	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
TIGR01372	sarcosine oxidase subunit alpha family protein
TIGR01373	sarcosine oxidase subunit beta family protein
TIGR01374	sarcosine oxidase subunit delta family protein
TIGR01375	sarcosine oxidase subunit gamma family protein
TIGR01378	thiamine diphosphokinase
TIGR01379	thiamine-phosphate kinase
TIGR01380	glutathione synthase
TIGR01382	DJ-1/PfpI/YhbO family deglycase/protease
TIGR01384	transcription factor S
TIGR01385	transcription elongation factor S-II
TIGR01388	ribonuclease D
TIGR01389	DNA helicase RecQ
TIGR01390	2',3'-cyclic-nucleotide 2'-phosphodiesterase
TIGR01391	DNA primase
TIGR01392	homoserine O-acetyltransferase
TIGR01393	elongation factor 4
TIGR01394	translational GTPase TypA
TIGR01395	flagellar basal body rod protein FlgC
TIGR01396	flagellar basal body rod protein FlgB
TIGR01397	flagellar motor switch protein FliM
TIGR01398	flagellar biosynthesis protein FlhA
TIGR01399	EscV/YscV/HrcV family type III secretion system export apparatus protein
TIGR01400	flagellar biosynthetic protein FliR
TIGR01401	EscT/YscT/HrcT family type III secretion system export apparatus protein
TIGR01402	flagellar biosynthetic protein FliQ
TIGR01403	EscS/YscS/HrcS family type III secretion system export apparatus protein
TIGR01404	EscU/YscU/HrcU family type III secretion system export apparatus switch protein
TIGR01405	DNA polymerase III subunit alpha
TIGR01406	DNA polymerase III subunit epsilon
TIGR01409	twin-arginine translocation signal domain-containing protein
TIGR01410	twin-arginine translocase subunit TatB
TIGR01411	twin-arginine translocase TatA/TatE family subunit
TIGR01412	deferrochelatase/peroxidase EfeB
TIGR01413	Dyp-type peroxidase
TIGR01414	autotransporter outer membrane beta-barrel domain-containing protein
TIGR01415	TrpB-like pyridoxal phosphate-dependent enzyme
TIGR01416	ubiquinol-cytochrome c reductase iron-sulfur subunit
TIGR01417	phosphoenolpyruvate--protein phosphotransferase
TIGR01418	pyruvate, water dikinase
TIGR01419	PTS IIA-like nitrogen-regulatory protein PtsN
TIGR01420	PilT/PilU family type 4a pilus ATPase
TIGR01421	glutathione-disulfide reductase
TIGR01422	phosphonoacetaldehyde hydrolase
TIGR01423	trypanothione-disulfide reductase
TIGR01424	glutathione-disulfide reductase
TIGR01425	signal recognition particle protein SRP54
TIGR01428	haloacid dehalogenase type II
TIGR01429	AMP deaminase
TIGR01430	adenosine deaminase
TIGR01432	cytochrome aa3 quinol oxidase subunit II
TIGR01433	ubiquinol oxidase subunit II
TIGR01434	glutamate--cysteine ligase
TIGR01435	bifunctional glutamate--cysteine ligase/glutathione synthetase
TIGR01436	glutamate--cysteine ligase
TIGR01437	DgaE family pyridoxal phosphate-dependent ammonia lyase
TIGR01440	TIGR01440 family protein
TIGR01441	GPR endopeptidase
TIGR01442	gamma-type small acid-soluble spore protein
TIGR01444	FkbM family methyltransferase
TIGR01446	DnaD domain protein
TIGR01447	exodeoxyribonuclease V subunit alpha
TIGR01448	ATP-dependent RecD-like DNA helicase
TIGR01449	phosphoglycolate phosphatase
TIGR01450	exodeoxyribonuclease V subunit gamma
TIGR01455	phosphoglucosamine mutase
TIGR01456	TIGR01456 family HAD-type hydrolase
TIGR01457	TIGR01457 family HAD-type hydrolase
TIGR01458	TIGR01458 family HAD-type hydrolase
TIGR01459	TIGR01459 family HAD-type hydrolase
TIGR01460	HAD-IIA family hydrolase
TIGR01461	transcription elongation factor GreB
TIGR01462	transcription elongation factor GreA
TIGR01463	MtaA/CmuA family methyltransferase
TIGR01464	uroporphyrinogen decarboxylase
TIGR01465	precorrin-4 C(11)-methyltransferase
TIGR01466	precorrin-3B C(17)-methyltransferase
TIGR01467	precorrin-2 C(20)-methyltransferase
